Job Title,Company,Location,Experience Level,Salary,Industry,Required Skills
"Therapist, music","Dodson, Sampson and Dillon",Berlin,Mid Level,89000.0,Software,"SQL, React"
"Engineer, energy",Mason-Fletcher,New York,Mid Level,94000.0,Education,EdTech
Production engineer,Hill Group,Berlin,Entry Level,63000.0,Education,"Curriculum Design, Teaching, EdTech"
Environmental manager,Foster-Payne,Sydney,Mid Level,145000.0,Software,"Java, SQL, AWS"
Podiatrist,"York, Torres and Aguilar",Sydney,Senior Level,50000.0,Healthcare,Patient Care
"Psychologist, clinical","Walters, Hale and Gill",Berlin,Senior Level,71000.0,Education,"Teaching, Curriculum Design, Research, EdTech"
"Lecturer, further education","Jones, Callahan and Robertson",Toronto,Mid Level,73000.0,Software,"Python, Machine Learning"
Consulting civil engineer,Cantu-Little,London,Entry Level,125000.0,Healthcare,"Pharmaceuticals, Medical Research"
Chartered loss adjuster,Deleon Inc,Sydney,Mid Level,106000.0,Marketing,"Market Research, Google Ads"
IT technical support officer,Gallagher-Carroll,New York,Mid Level,41000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Water engineer,"Nielsen, Holloway and Olson",New York,Senior Level,54000.0,Marketing,"SEO, Content Writing, Market Research"
"Production assistant, radio",Huffman Group,San Francisco,Mid Level,94000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Manufacturing engineer,"Walters, Palmer and Daniels",Toronto,Senior Level,130000.0,Marketing,Content Writing
"Engineer, land","Castro, Adams and Morrison",Berlin,Mid Level,93000.0,Software,"React, Java"
Television/film/video producer,Evans-Wise,Berlin,Senior Level,98000.0,Marketing,"SEO, Google Ads, Market Research, Content Writing"
Clinical biochemist,"Gates, Sharp and Cooley",Toronto,Mid Level,61000.0,Retail,Customer Service
Medical secretary,Gonzalez-Monroe,Toronto,Mid Level,60000.0,Retail,"Sales, Customer Service, Merchandising"
Arts development officer,Jackson-Gomez,Toronto,Entry Level,54000.0,Retail,"Merchandising, Customer Service, Sales"
Occupational psychologist,Rice Group,Sydney,Entry Level,90000.0,Retail,"Customer Service, Merchandising"
Environmental consultant,Davis LLC,London,Mid Level,100000.0,Marketing,"SEO, Social Media, Google Ads"
"Physicist, medical",Tate PLC,New York,Senior Level,124000.0,Finance,"Financial Modeling, Python"
Comptroller,Castro and Sons,Bangalore,Entry Level,128000.0,Education,"EdTech, Curriculum Design, Teaching"
Freight forwarder,Torres and Sons,London,Senior Level,106000.0,Software,"React, Machine Learning, Java"
Comptroller,Wilson-Lopez,Bangalore,Senior Level,45000.0,Manufacturing,Quality Control
Hotel manager,Moore PLC,Sydney,Mid Level,73000.0,Healthcare,"Nursing, Medical Research, Pharmaceuticals"
Educational psychologist,"Andrews, Gonzalez and Walter",Bangalore,Senior Level,66000.0,Software,C++
"Administrator, sports","Cook, Jones and Torres",Sydney,Entry Level,59000.0,Marketing,SEO
Chief Operating Officer,Adams-David,Toronto,Entry Level,132000.0,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing"
Diagnostic radiographer,Ryan PLC,London,Entry Level,56000.0,Software,"Machine Learning, Python"
Technical sales engineer,Mckinney PLC,London,Senior Level,137000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
"Horticulturist, amenity","Stevens, Walls and James",Bangalore,Entry Level,137000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Probation officer,Rogers-Wilson,Bangalore,Senior Level,145000.0,Healthcare,"Medical Research, Pharmaceuticals, Nursing"
Ambulance person,"Morales, Powell and Mendoza",Bangalore,Senior Level,87000.0,Marketing,"Social Media, Google Ads"
Tour manager,"Tyler, Holloway and Smith",London,Entry Level,86000.0,Healthcare,Medical Research
"Scientist, audiological","Maxwell, Kelly and Newman",Sydney,Mid Level,139000.0,Finance,"Risk Analysis, Financial Modeling, SQL"
"Journalist, broadcasting","Ortega, Brown and Newman",Berlin,Senior Level,99000.0,Marketing,"Google Ads, Market Research, Social Media"
"Pharmacist, hospital",Hernandez-Davis,Berlin,Entry Level,60000.0,Software,"AWS, C++, React, SQL"
Education administrator,"Wells, Nguyen and Cummings",San Francisco,Mid Level,88000.0,Healthcare,"Medical Research, Nursing"
Technical sales engineer,Burgess-Gonzales,Berlin,Entry Level,143000.0,Finance,"Excel, Python, Risk Analysis"
"Scientist, clinical (histocompatibility and immunogenetics)",Herrera LLC,Bangalore,Entry Level,147000.0,Marketing,"Market Research, Content Writing, SEO"
"Engineer, civil (contracting)",Roberts-Weaver,San Francisco,Entry Level,91000.0,Finance,"Python, SQL, Financial Modeling, Risk Analysis"
Location manager,Smith Inc,Sydney,Mid Level,49000.0,Education,"EdTech, Curriculum Design, Research, Teaching"
"Designer, television/film set",Baker Inc,London,Mid Level,91000.0,Retail,Merchandising
"Teacher, English as a foreign language","Ortega, Smith and Becker",London,Mid Level,127000.0,Finance,"Python, Risk Analysis, Excel, SQL"
"Designer, blown glass/stained glass",Brooks-Dillon,New York,Entry Level,125000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Designer, ceramics/pottery","Jones, Edwards and Lindsey",Berlin,Entry Level,56000.0,Finance,"Python, Risk Analysis, Financial Modeling"
IT sales professional,Bennett-Gonzalez,Sydney,Senior Level,70000.0,Marketing,"Social Media, SEO, Market Research"
Automotive engineer,Benson-Horton,Toronto,Senior Level,116000.0,Marketing,"Market Research, Google Ads"
Arboriculturist,"Sawyer, King and Chandler",Berlin,Mid Level,104000.0,Finance,Excel
Financial trader,Mosley-Gonzalez,Bangalore,Mid Level,144000.0,Finance,"Excel, Python, SQL, Risk Analysis"
Merchant navy officer,Davis and Sons,London,Senior Level,111000.0,Education,"Research, EdTech, Teaching, Curriculum Design"
Administrator,"Johnson, Williams and Zhang",Berlin,Entry Level,64000.0,Software,"Java, Machine Learning"
"Surveyor, building control","Stokes, Graves and Powers",San Francisco,Senior Level,116000.0,Marketing,Social Media
"Development worker, international aid","Johnson, Flores and Todd",Sydney,Senior Level,62000.0,Finance,"Excel, SQL"
Building surveyor,Moss-Hensley,Sydney,Senior Level,77000.0,Marketing,"Content Writing, Market Research, Google Ads"
Systems developer,Carter Inc,Toronto,Mid Level,65000.0,Finance,"SQL, Python"
"Scientist, research (medical)","Jones, Maldonado and Solis",Berlin,Mid Level,77000.0,Marketing,"Market Research, Content Writing, SEO"
"Biochemist, clinical","Ellison, Wolf and Adams",San Francisco,Senior Level,97000.0,Software,"React, SQL, C++"
Osteopath,Smith Group,San Francisco,Mid Level,64000.0,Marketing,"Social Media, Market Research, SEO, Google Ads"
Press sub,"Fry, White and Cummings",Berlin,Senior Level,147000.0,Marketing,"Social Media, SEO, Content Writing, Market Research"
"Engineer, manufacturing systems",Smith Inc,Bangalore,Senior Level,143000.0,Marketing,"Content Writing, Google Ads"
Merchant navy officer,Marsh-Smith,New York,Senior Level,84000.0,Finance,SQL
Production engineer,Shepherd-Leon,New York,Entry Level,72000.0,Education,"Research, Curriculum Design, EdTech"
Risk analyst,Cook LLC,San Francisco,Mid Level,135000.0,Software,"SQL, Java, C++, AWS"
Musician,Carter Inc,Toronto,Entry Level,95000.0,Retail,"Sales, Merchandising, Customer Service"
Clinical biochemist,Williams Ltd,Sydney,Entry Level,147000.0,Marketing,"SEO, Content Writing"
"Solicitor, Scotland",Pennington-Jones,Sydney,Senior Level,93000.0,Marketing,"SEO, Google Ads, Social Media"
Web designer,"Mora, Chang and Mcclain",Toronto,Entry Level,101000.0,Software,"C++, AWS, React, Python"
"Surveyor, building",Thomas-Shelton,Toronto,Mid Level,83000.0,Retail,"Sales, Customer Service, Merchandising"
Insurance broker,Tate Ltd,Toronto,Mid Level,77000.0,Software,Java
Furniture conservator/restorer,Garner-Brown,Bangalore,Entry Level,78000.0,Healthcare,"Pharmaceuticals, Medical Research"
Dealer,"Mcmillan, Miller and Moreno",Berlin,Senior Level,143000.0,Education,"Curriculum Design, Research, Teaching, EdTech"
Adult nurse,"Griffith, Barnes and Butler",Bangalore,Senior Level,118000.0,Marketing,"Market Research, Social Media, Content Writing"
Chief Strategy Officer,Lewis-Sullivan,London,Mid Level,129000.0,Software,"AWS, Machine Learning, C++"
Research scientist (physical sciences),Mays-Hickman,Bangalore,Mid Level,73000.0,Software,"C++, React, Python"
"Investment banker, corporate",Wright-Juarez,Berlin,Senior Level,143000.0,Education,"Research, Curriculum Design, EdTech, Teaching"
Ranger/warden,Lewis LLC,London,Entry Level,119000.0,Healthcare,"Nursing, Patient Care"
"Nurse, mental health",Carlson-Padilla,London,Entry Level,53000.0,Finance,"Risk Analysis, SQL, Excel, Financial Modeling"
Operational researcher,"Schultz, Cohen and Taylor",New York,Entry Level,42000.0,Marketing,Google Ads
Forensic scientist,Reed-Underwood,Berlin,Entry Level,62000.0,Retail,"Sales, Merchandising, Customer Service"
Risk manager,Morris-Brown,Sydney,Senior Level,138000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Television camera operator,Wang and Sons,London,Mid Level,111000.0,Education,"Curriculum Design, Research, EdTech, Teaching"
Horticultural consultant,Jackson-Wright,Bangalore,Mid Level,104000.0,Finance,"Excel, SQL"
Data scientist,Alexander-David,San Francisco,Entry Level,80000.0,Finance,"SQL, Python, Financial Modeling"
Occupational hygienist,Ryan and Sons,New York,Entry Level,96000.0,Marketing,Market Research
Chiropractor,Lee-Molina,San Francisco,Entry Level,46000.0,Finance,"Risk Analysis, Excel"
Systems analyst,"Smith, Livingston and Smith",Berlin,Entry Level,68000.0,Education,"Teaching, Curriculum Design, EdTech, Research"
Fashion designer,Scott PLC,Bangalore,Entry Level,95000.0,Marketing,"Content Writing, Google Ads"
Building surveyor,"Carrillo, Taylor and Patton",Bangalore,Mid Level,62000.0,Software,"Java, SQL, React, C++"
"Engineer, maintenance (IT)","Gaines, Cook and Cain",San Francisco,Senior Level,72000.0,Education,"Research, Curriculum Design"
Advertising copywriter,Davis Group,Sydney,Senior Level,41000.0,Manufacturing,"Production Planning, Quality Control"
Dietitian,Moody-Arnold,San Francisco,Senior Level,115000.0,Retail,Customer Service
Financial risk analyst,Wright-Hunter,Sydney,Entry Level,122000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Youth worker,Burke-Morales,Bangalore,Mid Level,96000.0,Education,"EdTech, Research, Teaching, Curriculum Design"
Financial planner,Johnson and Sons,Sydney,Entry Level,67000.0,Education,"Curriculum Design, EdTech, Teaching, Research"
Ranger/warden,Dillon-Reyes,San Francisco,Senior Level,124000.0,Finance,"Risk Analysis, Excel, SQL"
"Designer, industrial/product",Hayden-Williams,London,Entry Level,82000.0,Marketing,"Market Research, Google Ads"
Furniture conservator/restorer,Mendez Group,London,Mid Level,64000.0,Manufacturing,Production Planning
"Therapist, drama",Melton-Cunningham,London,Mid Level,49000.0,Education,Curriculum Design
Actor,"Cooper, Conner and Lopez",San Francisco,Entry Level,46000.0,Finance,Financial Modeling
Company secretary,Flores-Scott,Toronto,Mid Level,41000.0,Software,"Python, SQL"
"Librarian, public","Jensen, Johnson and Castillo",London,Senior Level,67000.0,Healthcare,"Medical Research, Patient Care"
Horticultural therapist,Cantu-Parker,San Francisco,Mid Level,42000.0,Healthcare,"Pharmaceuticals, Patient Care"
Armed forces operational officer,Pope-Lopez,New York,Entry Level,43000.0,Software,"SQL, Java"
Records manager,Jenkins-Camacho,New York,Senior Level,66000.0,Retail,"Customer Service, Sales, Merchandising"
Professor Emeritus,"Smith, Garcia and Dennis",Sydney,Senior Level,85000.0,Marketing,"SEO, Social Media"
Games developer,Mccormick Group,Bangalore,Mid Level,134000.0,Education,"Research, Teaching"
Speech and language therapist,Huff PLC,Toronto,Mid Level,114000.0,Healthcare,"Patient Care, Medical Research, Pharmaceuticals"
"Psychologist, forensic",Lin Inc,Berlin,Entry Level,131000.0,Marketing,"Market Research, Social Media, Google Ads"
Toxicologist,"Werner, Singh and Peterson",San Francisco,Senior Level,88000.0,Retail,Merchandising
Television/film/video producer,Mayer and Sons,San Francisco,Entry Level,46000.0,Marketing,Google Ads
"Teacher, adult education","Davis, Sawyer and Terrell",Sydney,Mid Level,42000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
"Doctor, general practice",Martinez-Moore,San Francisco,Mid Level,143000.0,Retail,"Merchandising, Customer Service, Sales"
Cabin crew,"Clark, Johns and Richardson",New York,Entry Level,123000.0,Retail,"Merchandising, Sales, Customer Service"
Minerals surveyor,Webb-White,London,Entry Level,129000.0,Marketing,"SEO, Google Ads"
Air broker,Graham-Smith,New York,Senior Level,59000.0,Education,EdTech
Art gallery manager,Kirk Ltd,Berlin,Mid Level,82000.0,Finance,"Excel, SQL, Risk Analysis, Financial Modeling"
Equality and diversity officer,Sanchez-Ferrell,Bangalore,Entry Level,65000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
"Production assistant, television","Wright, Russell and Scott",Bangalore,Entry Level,49000.0,Marketing,"Content Writing, Market Research"
Industrial/product designer,"Chapman, Howard and Galvan",Berlin,Entry Level,138000.0,Education,Research
Nature conservation officer,Pham-Lowe,San Francisco,Senior Level,81000.0,Software,AWS
"Scientist, forensic",Jacobs-Bell,Bangalore,Mid Level,133000.0,Healthcare,Medical Research
"Psychologist, clinical",Allen-Walsh,San Francisco,Mid Level,42000.0,Marketing,"Google Ads, Market Research, SEO"
"Designer, ceramics/pottery",Elliott-Newman,London,Entry Level,120000.0,Software,"SQL, C++, Python"
"Conservation officer, nature","Mcdonald, Brown and May",Berlin,Senior Level,59000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Administrator, local government",Gonzalez LLC,Toronto,Senior Level,126000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Restaurant manager,Grant-Buck,London,Senior Level,48000.0,Software,Java
Fine artist,"Smith, Nelson and Thompson",Bangalore,Entry Level,83000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care"
"Designer, furniture","Miller, Hicks and Tapia",Toronto,Entry Level,102000.0,Finance,Python
Curator,Warren-Patrick,Sydney,Senior Level,146000.0,Retail,"Customer Service, Merchandising, Sales"
Aeronautical engineer,Navarro LLC,London,Mid Level,59000.0,Retail,"Merchandising, Customer Service"
Building services engineer,Coleman Group,Bangalore,Mid Level,129000.0,Retail,"Merchandising, Sales, Customer Service"
"Psychologist, prison and probation services",Gross-Lambert,Sydney,Entry Level,134000.0,Software,"Java, React"
Financial risk analyst,Davis-Rubio,Berlin,Entry Level,128000.0,Retail,"Merchandising, Sales, Customer Service"
Garment/textile technologist,Wilson Inc,Berlin,Senior Level,60000.0,Marketing,Google Ads
Advertising account planner,Wells LLC,Berlin,Entry Level,55000.0,Healthcare,"Medical Research, Pharmaceuticals"
"Merchandiser, retail","Frank, Johnson and Drake",San Francisco,Senior Level,142000.0,Retail,"Merchandising, Sales, Customer Service"
Geophysicist/field seismologist,Beck PLC,Toronto,Mid Level,121000.0,Marketing,"Google Ads, Content Writing, SEO"
"Conservator, furniture",Romero LLC,San Francisco,Senior Level,146000.0,Education,"Curriculum Design, Research, Teaching"
Illustrator,"Grant, Holt and Henderson",Toronto,Mid Level,42000.0,Marketing,"Market Research, Google Ads, SEO, Content Writing"
Police officer,"Huang, Adams and Jimenez",Bangalore,Senior Level,47000.0,Education,"Curriculum Design, EdTech"
Dietitian,Smith-Smith,Bangalore,Mid Level,75000.0,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Multimedia programmer,"Benjamin, Rivas and Nichols",Bangalore,Mid Level,87000.0,Finance,"Risk Analysis, SQL, Excel"
Technical author,Parker Group,Sydney,Senior Level,131000.0,Software,"AWS, Java"
Customer service manager,James-Santiago,London,Senior Level,131000.0,Software,"C++, React, Java, SQL"
Press sub,Hamilton-Lee,Bangalore,Mid Level,69000.0,Marketing,"Market Research, SEO"
Customer service manager,Randall PLC,Sydney,Senior Level,70000.0,Marketing,"Content Writing, SEO, Social Media"
Operations geologist,Jones-Conway,San Francisco,Senior Level,85000.0,Finance,SQL
Occupational therapist,Norman-Adams,London,Entry Level,57000.0,Retail,Sales
"Civil engineer, contracting",Watson Inc,Sydney,Mid Level,114000.0,Software,"Machine Learning, React, AWS, Python"
Counsellor,Graves Inc,Toronto,Entry Level,72000.0,Manufacturing,"Production Planning, Supply Chain"
Best boy,Hayes-Maynard,New York,Entry Level,69000.0,Healthcare,Patient Care
Building control surveyor,"Brown, Mckee and Walters",San Francisco,Entry Level,69000.0,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Media planner,"Cantu, Bell and Haney",Sydney,Entry Level,121000.0,Software,"AWS, Java, Python"
Health visitor,Lewis-Duncan,Berlin,Senior Level,118000.0,Retail,Merchandising
Veterinary surgeon,"Delgado, Smith and Gray",San Francisco,Mid Level,89000.0,Finance,"Python, Excel"
Ambulance person,"Henderson, Wright and Rivera",Sydney,Senior Level,99000.0,Marketing,"Content Writing, Social Media"
"Geologist, engineering","Daniel, Wilkinson and Hall",Sydney,Mid Level,70000.0,Software,"Java, AWS"
Magazine features editor,"Barber, Butler and Lane",New York,Senior Level,77000.0,Retail,"Sales, Customer Service, Merchandising"
Chief Operating Officer,"Douglas, Clark and Gomez",Sydney,Entry Level,142000.0,Healthcare,Medical Research
Bonds trader,"Love, Estes and Baker",Bangalore,Senior Level,64000.0,Software,"Python, Java, AWS, C++"
"Therapist, art",Golden-Scott,Toronto,Mid Level,64000.0,Marketing,"Content Writing, SEO, Social Media"
Printmaker,Nguyen-Jackson,New York,Entry Level,103000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Systems analyst,Perkins-Brooks,New York,Entry Level,104000.0,Finance,"Risk Analysis, SQL"
Data scientist,"Blake, Watson and Torres",Bangalore,Mid Level,132000.0,Retail,"Sales, Customer Service, Merchandising"
"Designer, graphic","Holder, Lopez and Palmer",Berlin,Entry Level,104000.0,Software,"C++, React, SQL"
"Journalist, magazine",Palmer-Bell,Berlin,Mid Level,108000.0,Software,"Python, SQL, C++, React"
Aeronautical engineer,"Stevenson, Lloyd and Simpson",San Francisco,Mid Level,81000.0,Retail,"Customer Service, Sales, Merchandising"
Medical technical officer,Weaver-Marsh,Toronto,Mid Level,91000.0,Retail,"Merchandising, Customer Service, Sales"
Immigration officer,"Williams, Morris and Fitzgerald",New York,Entry Level,143000.0,Software,"React, AWS"
Writer,Dixon and Sons,London,Entry Level,81000.0,Finance,"Financial Modeling, SQL"
Electrical engineer,Austin-Chambers,Bangalore,Entry Level,50000.0,Marketing,"Social Media, Market Research"
Product designer,"Richmond, Sandoval and Reed",New York,Entry Level,42000.0,Marketing,"SEO, Google Ads"
Production manager,Johnson PLC,London,Mid Level,50000.0,Retail,"Sales, Merchandising"
Acupuncturist,Mccoy Group,Berlin,Mid Level,109000.0,Retail,"Customer Service, Merchandising"
Lexicographer,"Williams, Robinson and Martinez",London,Senior Level,74000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Community arts worker,"Mcdonald, Cox and Pratt",Toronto,Entry Level,120000.0,Finance,"SQL, Excel, Risk Analysis, Financial Modeling"
"Horticulturist, amenity","Shelton, Ford and Turner",Sydney,Mid Level,47000.0,Finance,Excel
"Designer, multimedia",Pittman LLC,New York,Mid Level,117000.0,Finance,Excel
Glass blower/designer,Thomas and Sons,New York,Mid Level,102000.0,Retail,Customer Service
Chief Strategy Officer,"Richard, Green and Jones",New York,Mid Level,63000.0,Healthcare,Pharmaceuticals
"Designer, interior/spatial",Christian and Sons,Toronto,Mid Level,66000.0,Finance,"Risk Analysis, Excel, Python, Financial Modeling"
Mechanical engineer,"Smith, Shepherd and Campbell",Bangalore,Mid Level,72000.0,Marketing,Market Research
Rural practice surveyor,Wilson-Henderson,Bangalore,Mid Level,82000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care"
Fisheries officer,Oliver-Davis,Berlin,Entry Level,77000.0,Finance,"Risk Analysis, SQL, Excel"
Community development worker,"Thompson, Davis and Shelton",Berlin,Mid Level,63000.0,Finance,Risk Analysis
Biomedical scientist,"Campbell, Franklin and Faulkner",San Francisco,Senior Level,48000.0,Finance,"SQL, Python, Excel, Financial Modeling"
"Horticulturist, amenity","Rhodes, Hogan and Garrett",Sydney,Mid Level,134000.0,Retail,Sales
"Secretary, company",Hull-Simpson,Bangalore,Entry Level,54000.0,Finance,"Risk Analysis, Excel"
"Copywriter, advertising",Murphy-Johnson,Sydney,Senior Level,73000.0,Software,"Machine Learning, AWS, C++, SQL"
Tourism officer,Ryan LLC,Bangalore,Entry Level,53000.0,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care"
Trade union research officer,"Harvey, White and Horton",Toronto,Entry Level,81000.0,Marketing,"Content Writing, SEO, Social Media"
"Therapist, occupational",Gonzalez-Costa,Sydney,Senior Level,116000.0,Software,"Machine Learning, Java"
Database administrator,Anderson-Green,London,Senior Level,108000.0,Manufacturing,Supply Chain
"Psychologist, prison and probation services",Duran-Barton,Bangalore,Mid Level,89000.0,Software,"Python, Java, React, Machine Learning"
"Engineer, production","Garcia, Scott and Rodriguez",San Francisco,Mid Level,48000.0,Finance,"Risk Analysis, Financial Modeling, Excel"
Network engineer,"Baker, Cervantes and Lane",Toronto,Senior Level,84000.0,Education,Curriculum Design
"Engineer, drilling","Taylor, Allen and Daniel",Berlin,Mid Level,62000.0,Finance,Excel
Scientific laboratory technician,Patel-Lewis,London,Entry Level,113000.0,Marketing,"Content Writing, Google Ads, SEO"
Press sub,Smith-Watson,London,Entry Level,126000.0,Healthcare,"Nursing, Patient Care, Medical Research"
Catering manager,"Thornton, Medina and Patterson",Berlin,Entry Level,144000.0,Retail,Customer Service
"Production designer, theatre/television/film",Walker Group,San Francisco,Entry Level,81000.0,Finance,"SQL, Python, Financial Modeling"
Immigration officer,"Hernandez, Maynard and Brown",San Francisco,Mid Level,98000.0,Retail,Customer Service
Advertising art director,"Davis, Evans and Benson",Sydney,Entry Level,140000.0,Education,"Teaching, EdTech"
Chartered legal executive (England and Wales),Young Ltd,Bangalore,Senior Level,51000.0,Healthcare,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
Professor Emeritus,Stephens Group,New York,Entry Level,121000.0,Marketing,"Market Research, SEO, Content Writing"
Clothing/textile technologist,Fitzgerald and Sons,Bangalore,Entry Level,58000.0,Finance,"SQL, Financial Modeling"
Automotive engineer,Burch-Hughes,Toronto,Entry Level,122000.0,Education,"EdTech, Curriculum Design, Research, Teaching"
"Conservator, furniture",James-Long,Berlin,Mid Level,63000.0,Retail,Merchandising
"Administrator, charities/voluntary organisations","Baker, Leonard and Hensley",Berlin,Entry Level,82000.0,Finance,"Risk Analysis, Financial Modeling, Python, Excel"
Estate manager/land agent,Williams-Roberts,Berlin,Mid Level,58000.0,Retail,"Merchandising, Customer Service"
"Programme researcher, broadcasting/film/video","George, Mccann and Harris",Berlin,Entry Level,57000.0,Software,"Python, SQL, AWS, React"
Research scientist (physical sciences),Nelson Group,Bangalore,Senior Level,119000.0,Retail,"Customer Service, Merchandising, Sales"
Sports development officer,Morrow LLC,London,Senior Level,148000.0,Healthcare,Nursing
Marketing executive,Gardner LLC,Sydney,Senior Level,43000.0,Healthcare,"Pharmaceuticals, Nursing, Patient Care"
Civil Service administrator,Stone-Chase,New York,Mid Level,70000.0,Marketing,SEO
Purchasing manager,"Payne, Adams and Morales",Bangalore,Mid Level,82000.0,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Pension scheme manager,Brooks-Clarke,Bangalore,Entry Level,105000.0,Finance,"Python, SQL, Risk Analysis, Financial Modeling"
"Biochemist, clinical",Brooks-Grimes,Sydney,Mid Level,62000.0,Retail,Customer Service
Armed forces logistics/support/administrative officer,Velasquez LLC,San Francisco,Entry Level,128000.0,Retail,"Customer Service, Merchandising, Sales"
Multimedia programmer,Tucker-Lee,Sydney,Entry Level,134000.0,Marketing,Market Research
Retail manager,"Robinson, Moreno and Lowe",Toronto,Entry Level,120000.0,Retail,"Customer Service, Merchandising"
"Engineer, agricultural",Scott-Sanchez,San Francisco,Mid Level,55000.0,Retail,"Sales, Customer Service"
Personal assistant,Stephens Group,Bangalore,Senior Level,95000.0,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Mechanical engineer,"Harris, Mann and Huerta",Toronto,Entry Level,59000.0,Finance,"Risk Analysis, Python"
Child psychotherapist,"Smith, Bennett and Parker",San Francisco,Senior Level,122000.0,Education,"Teaching, Research, Curriculum Design"
Higher education careers adviser,Ruiz PLC,Sydney,Mid Level,46000.0,Marketing,Content Writing
Film/video editor,Ruiz-Sutton,New York,Entry Level,147000.0,Manufacturing,Production Planning
Therapeutic radiographer,Wyatt and Sons,Toronto,Mid Level,141000.0,Retail,"Sales, Merchandising"
Public house manager,Davis-Guerrero,San Francisco,Entry Level,58000.0,Retail,Customer Service
Rural practice surveyor,Martinez PLC,San Francisco,Entry Level,75000.0,Finance,Python
Broadcast engineer,Walker-Espinoza,Bangalore,Mid Level,56000.0,Software,"C++, SQL, AWS"
Armed forces technical officer,Perez-Parker,Berlin,Mid Level,117000.0,Healthcare,"Patient Care, Pharmaceuticals, Medical Research"
Musician,Hughes Ltd,San Francisco,Senior Level,44000.0,Education,"EdTech, Curriculum Design, Research, Teaching"
"Engineer, electronics","Curtis, Conner and Welch",Bangalore,Senior Level,86000.0,Manufacturing,"Quality Control, Production Planning"
"Teacher, early years/pre",Campbell-Harper,Sydney,Entry Level,95000.0,Retail,Sales
Senior tax professional/tax inspector,"Parker, Williamson and Shelton",London,Entry Level,128000.0,Retail,"Sales, Merchandising, Customer Service"
Osteopath,Campbell-Richards,New York,Entry Level,68000.0,Manufacturing,"Production Planning, Supply Chain"
Arboriculturist,"Hunter, Wilson and Rowland",New York,Entry Level,107000.0,Retail,"Merchandising, Sales, Customer Service"
"Engineer, water",Andersen Ltd,Berlin,Senior Level,81000.0,Software,Machine Learning
"Editor, commissioning",Barr and Sons,New York,Entry Level,69000.0,Retail,Merchandising
Illustrator,Benitez-Lucas,Berlin,Entry Level,136000.0,Marketing,"Content Writing, Market Research, SEO, Social Media"
Applications developer,Rhodes and Sons,London,Mid Level,141000.0,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Interpreter,Mccormick LLC,London,Entry Level,146000.0,Software,"Java, Machine Learning"
Regulatory affairs officer,Wood Inc,Berlin,Senior Level,129000.0,Education,EdTech
"Psychologist, forensic","Hunt, Smith and Wagner",San Francisco,Mid Level,85000.0,Education,"EdTech, Research"
Sports coach,Smith and Sons,Berlin,Entry Level,57000.0,Retail,Merchandising
Cartographer,Lloyd-Martinez,San Francisco,Senior Level,49000.0,Retail,Customer Service
Insurance claims handler,Graham Inc,Bangalore,Senior Level,70000.0,Education,"Research, Curriculum Design"
"Engineer, control and instrumentation","Gonzalez, Wells and Williams",London,Mid Level,131000.0,Finance,"Excel, Python, SQL"
Youth worker,"Martin, Lara and Dennis",New York,Entry Level,89000.0,Manufacturing,Quality Control
"Lecturer, further education",Casey-Hunter,Berlin,Mid Level,56000.0,Education,"Curriculum Design, Teaching"
Visual merchandiser,Schneider PLC,Sydney,Entry Level,66000.0,Healthcare,"Pharmaceuticals, Medical Research, Patient Care"
Ecologist,Williams PLC,Sydney,Mid Level,87000.0,Manufacturing,"Production Planning, Supply Chain"
Ranger/warden,Hayes-Flores,Berlin,Entry Level,79000.0,Software,"AWS, C++"
"Investment banker, corporate",Brewer-Hutchinson,Bangalore,Mid Level,114000.0,Finance,"Python, Risk Analysis, Financial Modeling"
Archaeologist,"Hutchinson, Carson and Murphy",New York,Senior Level,120000.0,Marketing,Social Media
"Engineer, petroleum","Clark, Vega and Scott",San Francisco,Mid Level,60000.0,Retail,"Customer Service, Sales"
Television/film/video producer,Potts-Woods,New York,Mid Level,103000.0,Manufacturing,"Supply Chain, Quality Control, Production Planning"
